stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
73;73;0x0000000I64X;146;P;00:00:02:433;6346;24;;;;;40.463642;;50 768;257;0;3 809;0;;1 253;2 613;13 026;;4 435;138;4 085;18 975;0;
74;74;0x0000000I64X;148;P;00:00:02:466;7359;24;;;;;40.295613;;58 872;236;0;3 881;0;;1 088;2 432;12 936;;5 137;111;4 446;26 543;0;
75;75;0x0000000I64X;150;P;00:00:02:500;6874;24;;;;;40.537609;;54 992;383;0;3 879;0;;1 262;2 693;12 513;;4 555;124;4 119;23 197;0;
76;76;0x0000000I64X;152;P;00:00:02:533;7133;24;;;;;40.557735;;57 064;258;0;3 842;0;;1 026;2 022;12 479;;5 189;116;4 958;25 296;0;
77;78;0x0000000I64X;156;P;00:00:02:600;9164;24;;;;;37.808651;;73 312;162;0;4 570;0;;1 829;4 011;13 037;;4 964;190;5 319;36 692;0;
78;77;0x0000000I64X;154;B;00:00:02:566;2119;26;;;;;40.133975;;16 952;962;0;2 382;0;;64;166;6 445;;1 424;74;1 231;2 978;0;
79;80;0x0000000I64X;160;P;00:00:02:666;8298;23;;;;;38.134913;;66 384;308;0;3 838;0;;1 470;2 932;13 405;;5 057;155;4 751;32 083;0;
80;79;0x0000000I64X;158;B;00:00:02:633;1682;25;;;;;40.810357;;13 456;1 014;0;1 841;0;;37;76;5 637;;1 045;56;727;1 943;0;
81;82;0x0000000I64X;164;P;00:00:02:733;8429;23;;;;;38.159262;;67 432;187;0;4 216;0;;1 169;2 708;13 597;;5 315;121;5 461;32 760;0;
82;81;0x0000000I64X;162;B;00:00:02:700;1884;26;;;;;40.501248;;15 072;1 017;0;2 031;0;;32;62;5 533;;1 324;36;1 312;2 632;0;
83;84;0x0000000I64X;168;P;00:00:02:800;8677;23;;;;;38.615324;;69 416;363;0;3 860;0;;1 139;2 494;14 663;;5 284;141;4 749;34 620;0;
84;83;0x0000000I64X;166;B;00:00:02:766;1670;25;;;;;40.720157;;13 360;1 018;0;1 868;0;;22;62;5 614;;997;36;831;1 876;0;
85;86;0x0000000I64X;172;P;00:00:02:866;10767;23;;;;;37.836928;;86 136;197;0;4 166;0;;1 338;2 666;15 180;;5 389;124;5 581;49 320;0;
86;85;0x0000000I64X;170;B;00:00:02:833;1856;26;;;;;40.014411;;14 848;964;0;2 411;0;;47;106;5 159;;1 219;27;1 292;2 534;0;
87;88;0x0000000I64X;176;P;00:00:02:933;9310;23;;;;;37.575616;;74 480;179;0;4 401;0;;1 221;2 897;14 282;;5 364;96;5 595;38 319;0;
88;87;0x0000000I64X;174;B;00:00:02:900;1494;26;;;;;40.612770;;11 952;1 043;0;2 101;0;;82;138;4 825;;733;36;629;1 276;0;
89;90;0x0000000I64X;180;P;00:00:03:000;10109;23;;;;;36.186183;;80 872;442;0;3 611;0;;975;2 068;14 420;;5 334;105;5 103;46 890;0;
90;89;0x0000000I64X;178;B;00:00:02:966;1532;28;;;;;40.027289;;12 256;981;0;1 716;0;;28;45;4 971;;985;29;612;1 814;0;
91;92;0x0000000I64X;184;P;00:00:03:066;9372;23;;;;;37.707272;;74 976;387;0;3 710;0;;627;1 196;13 817;;5 369;76;5 035;42 989;0;
92;91;0x0000000I64X;182;B;00:00:03:033;1564;26;;;;;40.124476;;12 512;1 002;0;2 081;0;;65;146;5 018;;901;38;658;1 473;0;
93;94;0x0000000I64X;188;P;00:00:03:133;12254;23;;;;;37.042244;;98 032;408;0;3 905;0;;711;1 511;13 335;;5 083;102;4 925;66 368;0;
94;93;0x0000000I64X;186;B;00:00:03:100;1273;26;;;;;38.997042;;10 184;1 007;0;1 844;0;;12;28;4 083;;640;27;549;1 063;0;
95;98;0x0000000I64X;196;P;00:00:03:266;7531;23;;;;;36.073583;;60 248;177;0;4 093;0;;1 157;2 143;10 727;;4 671;117;5 484;29 396;0;
96;96;0x0000000I64X;192;B;00:00:03:200;6355;24;;;;;36.885356;;50 840;812;0;4 616;0;;100;406;6 918;;3 822;576;2 658;29 551;0;
