stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
55;56;0x0000000I64X;112;P;00:00:01:866;13867;25;;;;;34.796030;;110 936;499;0;3 631;0;;792;1 219;17 434;;5 149;162;4 480;76 060;0;
56;55;0x0000000I64X;110;B;00:00:01:833;1643;30;;;;;36.913337;;13 144;1 037;0;2 217;0;;17;39;5 742;;780;72;349;1 813;0;
57;58;0x0000000I64X;116;P;00:00:01:933;14872;25;;;;;32.880916;;118 976;504;0;3 473;0;;458;613;15 286;;5 214;129;4 475;87 422;0;
58;57;0x0000000I64X;114;B;00:00:01:900;1188;33;;;;;36.782618;;9 504;1 032;0;1 724;0;;27;34;3 987;;458;45;253;943;0;
59;62;0x0000000I64X;124;P;00:00:02:066;17279;26;;;;;31.560103;;138 232;466;0;3 747;0;;458;671;16 897;;5 159;118;4 513;104 882;0;
60;60;0x0000000I64X;120;B;00:00:02:000;1985;30;;;;;34.133984;;15 880;958;0;3 024;0;;53;49;6 704;;1 020;98;517;2 268;0;
61;59;0x0000000I64X;118;B;00:00:01:966;904;34;;;;;35.537120;;7 232;1 027;0;1 169;0;;4;1;3 242;;320;25;78;468;0;
62;61;0x0000000I64X;122;B;00:00:02:033;825;34;;;;;32.093497;;6 600;1 005;0;1 341;0;;0;0;2 916;;199;4;43;107;0;
63;66;0x0000000I64X;132;P;00:00:02:200;16028;26;;;;;39.157321;;128 224;332;0;4 279;0;;676;1 161;17 030;;5 883;147;5 312;91 803;0;
64;64;0x0000000I64X;128;B;00:00:02:133;1781;28;;;;;35.355829;;14 248;956;0;2 600;0;;51;75;5 982;;878;99;372;2 059;0;
65;63;0x0000000I64X;126;B;00:00:02:100;796;34;;;;;35.773820;;6 368;1 043;0;1 092;0;;0;0;3 013;;186;6;29;153;0;
66;65;0x0000000I64X;130;B;00:00:02:166;809;24;;;;;31.156937;;6 472;1 017;0;1 252;0;;14;26;2 665;;221;14;101;215;0;
67;70;0x0000000I64X;140;P;00:00:02:333;13965;26;;;;;33.062300;;111 720;415;0;3 820;0;;481;983;15 829;;5 363;102;4 657;78 575;0;
68;68;0x0000000I64X;136;B;00:00:02:266;1423;26;;;;;36.415825;;11 384;1 005;0;2 403;0;;59;103;5 034;;482;44;330;782;0;
69;67;0x0000000I64X;134;B;00:00:02:233;879;28;;;;;35.462898;;7 032;1 049;0;1 152;0;;32;35;3 372;;181;14;124;144;0;
70;69;0x0000000I64X;138;B;00:00:02:300;703;31;;;;;35.487464;;5 624;1 059;0;888;0;;8;10;2 377;;177;3;47;79;0;
71;74;0x0000000I64X;148;P;00:00:02:466;14372;27;;;;;31.183432;;114 976;493;0;3 102;0;;256;453;17 976;;5 267;45;4 155;82 055;0;
72;72;0x0000000I64X;144;B;00:00:02:400;1439;27;;;;;34.755981;;11 512;971;0;2 333;0;;8;15;5 340;;544;35;186;947;0;
73;71;0x0000000I64X;142;B;00:00:02:366;852;25;;;;;35.290966;;6 816;1 032;0;1 269;0;;0;0;3 235;;181;1;26;83;0;
74;73;0x0000000I64X;146;B;00:00:02:433;856;35;;;;;38.583077;;6 848;1 039;0;1 140;0;;3;6;2 973;;300;17;51;387;0;
75;76;0x0000000I64X;152;P;00:00:02:533;12505;26;;;;;31.481397;;100 040;587;0;2 933;0;;248;383;14 247;;5 141;60;3 813;71 339;0;
76;75;0x0000000I64X;150;B;00:00:02:500;915;34;;;;;35.926689;;7 320;1 021;0;1 380;0;;7;11;3 308;;251;13;49;306;0;
77;80;0x0000000I64X;160;P;00:00:02:666;16166;26;;;;;30.583106;;129 328;478;0;3 420;0;;338;573;16 203;;5 426;64;4 497;97 096;0;
78;78;0x0000000I64X;156;B;00:00:02:600;1605;29;;;;;34.824500;;12 840;965;0;2 374;0;;19;34;5 598;;707;62;347;1 601;0;
79;77;0x0000000I64X;154;B;00:00:02:566;788;24;;;;;35.576611;;6 304;1 043;0;962;0;;4;11;3 085;;148;6;35;103;0;
80;79;0x0000000I64X;158;B;00:00:02:633;777;36;;;;;37.361616;;6 216;1 047;0;1 060;0;;0;1;2 617;;225;10;45;278;0;
81;84;0x0000000I64X;168;P;00:00:02:800;16973;26;;;;;32.778207;;135 784;417;0;3 719;0;;553;969;17 561;;5 777;116;4 757;100 531;0;
82;82;0x0000000I64X;164;B;00:00:02:733;1639;31;;;;;33.026973;;13 112;964;0;2 533;0;;19;35;5 686;;733;59;330;1 588;0;
