stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
58;57;0x0000000I64X;114;B;00:00:01:900;1728;23;;;;;41.973310;;13 824;974;0;1 914;0;;30;62;5 008;;1 202;29;773;2 719;0;
59;60;0x0000000I64X;120;P;00:00:02:000;5045;24;;;;;40.938832;;40 360;490;0;3 924;0;;1 057;2 357;10 403;;3 067;110;2 464;14 272;0;
60;59;0x0000000I64X;118;B;00:00:01:966;1713;24;;;;;41.674991;;13 704;977;0;1 904;0;;37;83;4 507;;1 183;44;915;2 970;0;
61;64;0x0000000I64X;128;P;00:00:02:133;6658;23;;;;;39.407686;;53 264;333;0;4 744;0;;1 672;3 705;11 265;;3 221;177;3 334;22 319;0;
62;62;0x0000000I64X;124;B;00:00:02:066;2568;24;;;;;40.638255;;20 544;904;0;2 713;0;;53;90;6 715;;2 124;83;1 373;5 227;0;
63;61;0x0000000I64X;122;B;00:00:02:033;1569;25;;;;;41.602233;;12 552;1 003;0;1 699;0;;39;78;3 767;;1 330;57;792;2 741;0;
64;63;0x0000000I64X;126;B;00:00:02:100;1927;25;;;;;39.220853;;15 416;957;0;2 358;0;;74;138;4 797;;1 484;44;1 074;3 309;0;
65;66;0x0000000I64X;132;P;00:00:02:200;5102;24;;;;;39.557032;;40 816;546;0;3 579;0;;924;2 223;10 425;;3 254;84;3 199;14 637;0;
66;65;0x0000000I64X;130;B;00:00:02:166;1714;25;;;;;41.573586;;13 712;991;0;1 899;0;;47;87;4 370;;1 548;33;928;2 709;0;
67;68;0x0000000I64X;136;P;00:00:02:266;6187;24;;;;;38.119473;;49 496;361;0;4 079;0;;1 199;2 831;12 149;;4 162;118;3 562;18 751;0;
68;67;0x0000000I64X;134;B;00:00:02:233;2228;26;;;;;41.269145;;17 824;910;0;2 281;0;;51;92;5 482;;2 051;89;1 427;4 265;0;
69;70;0x0000000I64X;140;P;00:00:02:333;7395;24;;;;;39.999136;;59 160;324;0;4 056;0;;1 114;3 140;13 752;;4 649;124;3 929;25 930;0;
70;69;0x0000000I64X;138;B;00:00:02:300;1896;25;;;;;40.918810;;15 168;976;0;1 925;0;;28;46;5 405;;1 770;57;835;3 012;0;
71;72;0x0000000I64X;144;P;00:00:02:400;8034;24;;;;;39.950448;;64 272;298;0;3 807;0;;918;3 235;15 592;;5 145;114;3 754;29 176;0;
72;71;0x0000000I64X;142;B;00:00:02:366;1594;25;;;;;40.845419;;12 752;982;0;1 776;0;;26;49;4 859;;1 243;38;627;2 089;0;
73;76;0x0000000I64X;152;P;00:00:02:533;5794;23;;;;;39.328852;;46 352;373;0;3 698;0;;374;1 427;13 813;;4 897;72;3 566;16 482;0;
74;74;0x0000000I64X;148;B;00:00:02:466;2883;25;;;;;39.490838;;23 064;932;0;2 328;0;;19;40;6 807;;3 054;279;1 430;6 988;0;
75;73;0x0000000I64X;146;B;00:00:02:433;1596;25;;;;;41.910864;;12 768;902;0;1 553;0;;24;41;4 533;;1 740;60;470;2 314;0;
76;75;0x0000000I64X;150;B;00:00:02:500;1741;25;;;;;39.125174;;13 928;985;0;1 761;0;;31;64;5 240;;1 562;35;862;2 287;0;
77;80;0x0000000I64X;160;P;00:00:02:666;6423;24;;;;;41.673157;;51 384;362;0;3 743;0;;627;1 921;16 725;;4 768;73;3 610;17 796;0;
78;78;0x0000000I64X;156;B;00:00:02:600;2218;24;;;;;40.141671;;17 744;939;0;2 230;0;;41;89;6 483;;1 982;72;961;3 790;0;
79;77;0x0000000I64X;154;B;00:00:02:566;1535;24;;;;;41.221663;;12 280;979;0;1 604;0;;31;59;4 679;;1 248;33;504;2 006;0;
80;79;0x0000000I64X;158;B;00:00:02:633;1650;23;;;;;40.736272;;13 200;941;0;1 862;0;;38;72;5 175;;1 226;26;619;2 109;0;
81;84;0x0000000I64X;168;P;00:00:02:800;6148;24;;;;;39.860440;;49 184;471;0;3 744;0;;939;2 231;12 857;;3 807;111;3 263;19 779;0;
